"時点","地域コード","地域","総面積（北方地域及び竹島を除く）【ha】","注記","森林面積【ha】","注記","年平均気温【℃】","注記","最高気温（日最高気温の月平均の最高値）【℃】","注記","最低気温（日最低気温の月平均の最低値）【℃】","注記","快晴日数（年間）【日】","注記","曇天日数（年間）【日】","注記","降水日数（年間）【日】","注記"
"1981年","22000","静岡県","777295","","","","15.5","","30.0","","-0.8","","68","","130","","111",""
"1981年","23000","愛知県","513231","","","","14.3","","31.5","","-1.5","","55","","119","","109",""
"1981年","24000","三重県","577701","","","","14.3","","30.7","","-0.5","","44","","137","","104",""
"1981年","25000","滋賀県","401600","","","","13.4","","30.9","","-1.2","","26","","189","","144",""
"1981年","26000","京都府","461284","","","","14.6","","32.5","","-1.2","","24","","137","","106",""
"1981年","27000","大阪府","186542","","","","15.8","","32.7","","0.5","","25","","119","","107",""
"1981年","28000","兵庫県","837443","","","","14.8","","30.6","","-0.4","","22","","122","","104",""
"1981年","29000","奈良県","369215","","","","13.9","","32.2","","-2.1","","23","","152","","104",""
"1981年","30000","和歌山県","472322","","","","15.5","","31.9","","0.4","","23","","125","","99",""
"1981年","31000","鳥取県","349235","","","","13.9","","31.8","","-1.4","","11","","194","","168",""
"1981年","32000","島根県","662737","","","","13.8","","30.7","","-0.9","","17","","191","","161",""
"1981年","33000","岡山県","708718","","","","14.2","","31.9","","-3.2","","35","","138","","95",""
"1981年","34000","広島県","846322","","","","14.3","","30.2","","-1.2","","33","","130","","93",""
"1981年","35000","山口県","610204","","","","14.2","","31.9","","-2.5","","24","","157","","120",""
"1981年","36000","徳島県","414525","","","","15.4","","31.3","","0.4","","36","","120","","99",""
"1981年","37000","香川県","188093","","","","14.7","","31.6","","-0.9","","28","","128","","97",""
"1981年","38000","愛媛県","566992","","","","15.3","","31.1","","-0.4","","40","","132","","98",""
"1981年","39000","高知県","710682","","","","16.1","","31.1","","-2.2","","53","","139","","103",""
"1981年","40000","福岡県","495415","","","","16.1","","32.7","","0.7","","21","","153","","104",""
"1981年","41000","佐賀県","243286","","","","15.6","","32.3","","-0.7","","43","","142","","104",""
"1981年","42000","長崎県","410841","","","","16.2","","31.0","","1.1","","32","","151","","109",""
"1981年","43000","熊本県","740646","","","","15.7","","32.5","","-1.5","","35","","139","","110",""
"1981年","44000","大分県","633383","","","","15.2","","30.9","","-0.6","","42","","119","","96",""
"1981年","45000","宮崎県","773431","","","","17.0","","32.8","","0.2","","55","","129","","105",""
"1981年","46000","鹿児島県","916308","","","","17.4","","33.0","","0.7","","32","","152","","124",""
"1981年","47000","沖縄県","224998","","","","22.2","","31.3","","12.8","","5","","153","","107",""
"1982年","01000","北海道","7852216","","","","8.9","","26.8","","-8.3","","29","","130","","130",""
"1982年","02000","青森県","961681","","","","10.1","","28.0","","-4.7","","20","","161","","140",""
"1982年","03000","岩手県","1527817","","","","10.2","","28.1","","-7.1","","14","","140","","121",""
"1982年","04000","宮城県","729137","","","","12.1","","26.7","","-3.0","","18","","127","","89",""
"1982年","05000","秋田県","1161120","","","","11.4","","28.2","","-3.5","","13","","194","","153",""
"1982年","06000","山形県","932656","","","","11.2","","29.3","","-4.6","","15","","165","","110",""
"1982年","07000","福島県","1378333","","","","12.6","","29.9","","-3.1","","18","","130","","93",""
"1982年","08000","茨城県","609365","","","","13.4","","28.8","","-2.6","","49","","113","","101",""
"1982年","09000","栃木県","641379","","","","13.4","","29.4","","-3.7","","42","","143","","104",""
"1982年","10000","群馬県","635561","","","","14.2","","30.0","","-1.1","","51","","131","","95",""
"1982年","11000","埼玉県","379932","","","","14.5","","30.7","","-0.9","","55","","144","","93",""
"1982年","12000","千葉県","514557","","","","15.0","","29.2","","0.9","","59","","142","","107",""
"1982年","13000","東京都","215677","","","","16.0","","30.2","","1.8","","49","","127","","103",""
"1982年","14000","神奈川県","240066","","","","15.3","","29.6","","2.2","","39","","139","","102",""
"1982年","15000","新潟県","1257831","","","","13.6","","29.8","","-0.8","","14","","171","","146",""
"1982年","16000","富山県","425218","","","","13.7","","29.4","","-1.1","","20","","173","","150",""
"1982年","17000","石川県","419728","","","","14.2","","30.2","","0.0","","23","","176","","166",""
"1982年","18000","福井県","419033","","","","14.4","","30.5","","-0.1","","32","","175","","155",""
"1982年","19000","山梨県","446348","","","","14.0","","30.3","","-2.7","","49","","127","","98",""
"1982年","20000","長野県","1358462","","","","11.7","","30.2","","-5.0","","33","","127","","95",""
"1982年","21000","岐阜県","1059575","","","","15.3","","30.8","","0.0","","51","","135","","108",""
"1982年","22000","静岡県","777298","","","","16.0","","29.2","","1.0","","58","","132","","117",""
"1982年","23000","愛知県","513555","","","","15.2","","30.4","","-0.2","","41","","125","","108",""
"1982年","24000","三重県","577706","","","","14.8","","29.0","","-0.1","","47","","143","","104",""
"1982年","25000","滋賀県","401600","","","","14.2","","29.9","","-0.1","","31","","170","","130",""
"1982年","26000","京都府","461288","","","","15.2","","31.1","","-0.1","","25","","120","","109",""
"1982年","27000","大阪府","186685","","","","16.1","","31.4","","1.5","","29","","109","","94",""
"1982年","28000","兵庫県","837515","","","","15.4","","29.8","","1.0","","33","","113","","95",""
"1982年","29000","奈良県","369215","","","","14.3","","30.8","","-1.4","","28","","147","","110",""
"1982年","30000","和歌山県","472346","","","","15.9","","30.8","","1.3","","27","","107","","98",""
"1982年","31000","鳥取県","349265","","","","14.4","","30.6","","0.3","","21","","177","","143",""
"1982年","32000","島根県","662762","","","","14.4","","29.6","","0.5","","20","","171","","138",""
"1982年","33000","岡山県","708735","","","","-","データが得られないことを示している。","30.7","","-1.5","","-","データが得られないことを示している。","-","データが得られないことを示している。","-","データが得られないことを示している。"
"1982年","34000","広島県","846401","","","","15.1","","30.3","","0.3","","27","","107","","82",""
"1982年","35000","山口県","610260","","","","14.7","","31.0","","-1.0","","23","","142","","107",""
"1982年","36000","徳島県","414520","","","","15.8","","30.4","","1.6","","34","","117","","100",""
"1982年","37000","香川県","188117","","","","15.5","","31.1","","0.1","","35","","115","","99",""
"1982年","38000","愛媛県","567033","","","","15.8","","30.7","","1.2","","31","","104","","95",""
"1982年","39000","高知県","710695","","","","16.2","","30.8","","0.2","","57","","122","","108",""
"1982年","40000","福岡県","495504","","","","16.4","","31.2","","2.6","","26","","126","","114",""
"1982年","41000","佐賀県","243302","","","","16.1","","32.0","","1.0","","39","","134","","94",""
"1982年","42000","長崎県","410949","","","","16.8","","30.8","","2.9","","34","","146","","104",""
"1982年","43000","熊本県","740676","","","","16.4","","32.1","","-0.3","","40","","129","","102",""
"1982年","44000","大分県","633502","","","","15.6","","30.6","","0.8","","31","","106","","108",""
"1982年","45000","宮崎県","773466","","","","17.2","","31.2","","1.1","","44","","125","","113",""
"1982年","46000","鹿児島県","916327","","","","17.8","","31.5","","2.0","","40","","125","","121",""
"1982年","47000","沖縄県","225057","","","","22.6","","31.2","","13.1","","10","","152","","114",""
"1983年","01000","北海道","7852349","","","","8.3","","26.5","","-7.9","","14","","151","","134",""
"1983年","02000","青森県","961693","","","","9.8","","28.4","","-4.7","","22","","174","","171",""
"1983年","03000","岩手県","1527842","","","","9.6","","27.9","","-5.9","","14","","118","","134",""
"1983年","04000","宮城県","729152","","","","11.7","","27.5","","-2.7","","22","","141","","98",""
"1983年","05000","秋田県","1161120","","","","11.1","","29.3","","-3.2","","17","","182","","174",""
"1983年","06000","山形県","932660","","","","11.1","","29.8","","-4.0","","6","","147","","143",""
"1983年","07000","福島県","1378339","","","","12.2","","30.1","","-2.4","","18","","139","","109",""
"1983年","08000","茨城県","609365","","","","12.8","","28.9","","-2.5","","58","","114","","102",""
"1983年","09000","栃木県","641379","","","","12.9","","29.6","","-3.9","","42","","136","","108",""
"1983年","10000","群馬県","635561","","","","13.8","","30.5","","-1.4","","53","","125","","102",""
"1983年","11000","埼玉県","379932","","","","14.2","","31.1","","-1.2","","73","","153","","99",""
"1983年","12000","千葉県","514572","","","","14.7","","29.8","","1.0","","53","","147","","108",""
"1983年","13000","東京都","216064","","","","15.7","","31.0","","2.4","","52","","130","","103",""
"1983年","14000","神奈川県","240118","","","","14.9","","29.9","","1.6","","51","","137","","112",""
"1983年","15000","新潟県","1257841","","","","13.4","","30.3","","-0.9","","9","","171","","186",""
"1983年","16000","富山県","425218","","","","13.4","","30.6","","-1.5","","19","","180","","183",""
"1983年","17000","石川県","419730","","","","14.1","","31.3","","-0.4","","15","","177","","191",""
"1983年","18000","福井県","419122","","","","14.2","","31.6","","-1.1","","25","","190","","177",""
"1983年","19000","山梨県","446348","","","","13.9","","32.1","","-2.8","","59","","117","","100",""
"1983年","20000","長野県","1358462","","","","11.4","","29.9","","-4.2","","28","","136","","121",""
"1983年","21000","岐阜県","1059575","","","","15.4","","33.3","","-0.1","","58","","111","","113",""
"1983年","22000","静岡県","777302","","","","15.9","","30.9","","1.2","","70","","139","","120",""
"1983年","23000","愛知県","513592","","","","15.4","","32.8","","0.2","","41","","106","","107",""
"1983年","24000","三重県","577708","","","","15.2","","31.8","","0.6","","38","","115","","100",""
"1983年","25000","滋賀県","401600","","","","14.5","","31.9","","0.2","","26","","163","","137",""
"1983年","26000","京都府","461289","","","","15.4","","33.5","","0.3","","17","","109","","109",""
"1983年","27000","大阪府","186685","","","","16.5","","34.1","","2.0","","18","","97","","87",""
"1983年","28000","兵庫県","837606","","","","15.8","","32.7","","1.0","","26","","91","","89",""
"1983年","29000","奈良県","369215","","","","14.6","","32.3","","-0.8","","23","","133","","114",""
"1983年","30000","和歌山県","472378","","","","16.3","","33.3","","1.7","","22","","102","","87",""
"1983年","31000","鳥取県","349265","","","","14.5","","31.7","","-0.4","","18","","175","","177",""
"1983年","32000","島根県","662799","","","","14.4","","30.4","","-0.2","","20","","156","","160",""
"1983年","33000","岡山県","708933","","","","16.0","","33.8","","0.1","","39","","112","","86",""
"1983年","34000","広島県","846457","","","","15.3","","32.3","","0.6","","33","","104","","93",""
"1983年","35000","山口県","610360","","","","14.9","","32.4","","-0.7","","23","","130","","111",""
"1983年","36000","徳島県","414520","","","","16.2","","33.2","","1.3","","36","","87","","95",""
"1983年","37000","香川県","188150","","","","16.0","","33.1","","0.5","","33","","83","","99",""
"1983年","38000","愛媛県","567052","","","","16.2","","32.5","","1.1","","33","","104","","95",""
"1983年","39000","高知県","710703","","","","16.3","","33.2","","0.6","","49","","108","","98",""
"1983年","40000","福岡県","495511","","","","16.6","","32.1","","2.4","","20","","124","","112",""
"1983年","41000","佐賀県","243306","","","","16.3","","33.0","","1.1","","36","","128","","98",""
"1983年","42000","長崎県","411006","","","","16.8","","31.5","","3.0","","25","","137","","117",""
"1983年","43000","熊本県","740729","","","","16.5","","33.5","","0.5","","33","","112","","103",""
"1983年","44000","大分県","633644","","","","16.0","","32.5","","0.8","","38","","114","","86",""
"1983年","45000","宮崎県","773472","","","","17.4","","32.4","","2.3","","57","","129","","119",""
"1983年","46000","鹿児島県","916344","","","","17.8","","32.6","","2.9","","25","","132","","129",""
"1983年","47000","沖縄県","225087","","","","22.9","","31.3","","13.9","","4","","175","","139",""
"1984年","01000","北海道","7852308","","","","8.1","","28.1","","-9.1","","14","","120","","120",""
"1984年","02000","青森県","961717","","","","9.1","","29.6","","-6.3","","15","","181","","166",""
"1984年","03000","岩手県","1527867","","","","9.1","","30.5","","-8.6","","13","","122","","116",""
